team,warner_score
"Louisville",3184
"Lourdes",3393
"Loyola (LA)",3785
"Loyola Chicago",3543
"Loyola Maryland",3319
"Lynchburg",3764
"Lynn",1650
"Lyon",3819
"MCLA",3523
"MSOE",3641
"MUW",3509
"Maine",3795
"Manchester",3602
"Manhattan",3613
"Marist",3934
"Marquette",3809
"Mars Hill",3528
"Marshall",3852
"Mary Baldwin",3615
"Mary Hardin-Baylor",3811
"Maryland",2237
"Maryville (TN)",1719
"Massachusetts",3584
"Master's",3530
"McDaniel",3586
"McMurry",3692
"McNeese",3700
"Me.-Augusta",3759
"Me.-Fort Kent",3750
"Medgar Evers",3504
"Memphis",3928
"Menlo",3635
"Mercer",3195
"Merchant Marine",3780
"Mercy",3503
"Merrimack",3865
"Methodist",3504
"Miami (FL)",3808
"Miami (OH)",3528
"Miami-Hamilton",3738
"Miami-Middletown",3797
"Michigan",3581
"Michigan St.",3390
"Mid-Amer. Christian",3787
"Mid-Atlantic Christ.",3104
"Middle Ga. St.",3157
"Middle Tenn.",1742
"Midland",3338
"Milligan",3518
"Milwaukee",3697
"Minnesota",3773
"Misericordia",3747
"Mississippi Col.",2481
"Mississippi St.",3573
"Mississippi Val.",3572
"Missouri",3922
"Missouri S&T",1731
"Missouri St.",1766
"Mobile",3758
"Monmouth",3436
"Mont. St.-Northern",3236
"Montana",3248
"Montana St.",3574
"Montana Western",3560
"Montevallo",3543
"Montreat",3640
"Morehead St.",3828
"Morehouse",3701
"Morgan St.",3789
"Morris",3879
"Mount Olive",3442
"Mount St. Mary's",3608
"Mt. Marty",3552
"Mt. St. Joseph",3892
"Mt. St. Mary (NY)",3489
"Multnomah",3561
"Murray St.",3773
"Muskingum",3780
"N.C. A&T",3547
"N.C. Central",2675
"N.M. Highlands",3877
"NC State",2936
"NIU",3140
"NJIT",3810
"NVU-Johnson",3520
"NVU-Lyndon",3254
"Navy",3397
"Nebraska",3593
"Neumann",3939
"Nevada",3488
"New Hampshire",3545
"New Mexico",3934
"New Mexico St.",3926
"New Orleans",3681
"Niagara",3801
"Nicholls",3209
"Norfolk St.",3509
"North Ala.",3510
"North American",3771
"North Carolina",3775
"North Central (MN)",3517
"North Dakota",2594
"North Dakota St.",3457
"North Florida",3865
"North Greenville",3671
"North Park",3668
"North Texas",3506
"Northeastern",3534
"Northern Ariz.",3831
"Northern Colo.",3491
"Northern Ky.",3696
"Northern N.M.",3884
"Northwest Indian",3808
"Northwestern",2633
"Northwestern Ohio",3002
"Northwestern St.",3543
"Notre Dame",3900
"Notre Dame (OH)",3926
"Oakland",3444
"Oakland City",3516
"Oakwood",3453
"Occidental",3786
